SMILES,Label,final_smiles,InChI,molecular_mass
CC(=CC1=CC=CC=C1)C=O,1,CC(C=O)=CC1=CC=CC=C1,"InChI=1S/C10H10O/c1-9(8-11)7-10-5-3-2-4-6-10/h2-8H,1H3",146.07316494
CC=CC1=CC=C(C=C1)OC,1,CC=CC1=CC=C(OC)C=C1,"InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3",148.088815004
COC1=C(C=CC(=C1)CC=C)O,1,C=CCC1=CC(OC)=C(O)C=C1,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",164.083729624
CC=CC1=CC(=C(C=C1)O)OC,1,CC=CC1=CC(OC)=C(O)C=C1,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3-7,11H,1-2H3",164.083729624
CC1CCC2=C(C(=O)OC2=C1)C,1,CC1=CC2=C(CC1)C(C)=C(O)O2,"InChI=1S/C10H12O2/c1-6-3-4-8-7(2)10(11)12-9(8)5-6/h5,11H,3-4H2,1-2H3",164.083729624
CC(C1=CC=CC=C1)OC(=O)C,1,CC(=O)OC(C)C1=CC=CC=C1,"InChI=1S/C10H12O2/c1-8(12-9(2)11)10-6-4-3-5-7-10/h3-8H,1-2H3",164.083729624
C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O.[K+].[K+],0,O=C1NC=NC2=C1N=CN2C1OC(COP(=O)([O-])[O-])C(O)C1O,"InChI=1S/C10H13N4O8P/c15-6-4(1-21-23(18,19)20)22-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,11,12,17)(H2,18,19,20)/p-2",346.03254710181994
C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)([O-])[O-])O)O.[Na+].[Na+],0,O=C1NC=NC2=C1N=CN2C1OC(COP(=O)([O-])[O-])C(O)C1O,"InChI=1S/C10H13N4O8P/c15-6-4(1-21-23(18,19)20)22-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,11,12,17)(H2,18,19,20)/p-2",346.03254710181994
CC1=CN(C(=O)NC1=O)[C@H]2C[C@H]([C@H](O2)CO)N=[N+]=[N-],0,CC1=CN(C2CC(N=[N+]=[N-])C(CO)O2)C(=O)NC1=O,"InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)",267.096753896
C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,0,CC(N)(CC1=CC(O)=C(O)C=C1)C(=O)O,"InChI=1S/C10H13NO4/c1-10(11,9(14)15)5-6-2-3-7(12)8(13)4-6/h2-4,12-13H,5,11H2,1H3,(H,14,15)",211.084457896
C[C@@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,0,CC(N)(CC1=CC(O)=C(O)C=C1)C(=O)O,"InChI=1S/C10H13NO4/c1-10(11,9(14)15)5-6-2-3-7(12)8(13)4-6/h2-4,12-13H,5,11H2,1H3,(H,14,15)",211.084457896
C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)NC(=NC2=O)N.[K+].[K+],0,NC1=NC(=O)C2=C(N1)N(C1OC(COP(=O)([O-])[O-])C(O)C1O)C=N2,"InChI=1S/C10H14N5O8P/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(23-9)1-22-24(19,20)21/h2-3,5-6,9,16-17H,1H2,(H2,19,20,21)(H3,11,13,14,18)/p-2",361.04344613381994
C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)NC(=NC2=O)N.[Na+].[Na+],0,NC1=NC(=O)C2=C(N1)N(C1OC(COP(=O)([O-])[O-])C(O)C1O)C=N2,"InChI=1S/C10H14N5O8P/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(23-9)1-22-24(19,20)21/h2-3,5-6,9,16-17H,1H2,(H2,19,20,21)(H3,11,13,14,18)/p-2",361.04344613381994
CC1(C2CC=C(C1C2)C=O)C,1,CC1(C)C2CC=C(C=O)C1C2,"InChI=1S/C10H14O/c1-10(2)8-4-3-7(6-11)9(10)5-8/h3,6,8-9H,4-5H2,1-2H3",150.104465068
CC1(C2CC=C(C1C2)C=O)C,1,CC1(C)C2CC=C(C=O)C1C2,"InChI=1S/C10H14O/c1-10(2)8-4-3-7(6-11)9(10)5-8/h3,6,8-9H,4-5H2,1-2H3",150.104465068
CCC=CCC=CC=CC=O,1,CCC=CC=CC=CCC=O,"InChI=1S/C10H14O/c1-2-3-4-5-6-7-8-9-10-11/h3-8,10H,2,9H2,1H3",150.104465068
CC1=CC(=O)C2CC1C2(C)C,1,CC1=C2CC(C(=O)C1)C2(C)C,"InChI=1S/C10H14O/c1-6-4-9(11)8-5-7(6)10(8,2)3/h8H,4-5H2,1-3H3",150.104465068
CC1=CC(=O)C2CC1C2(C)C,1,CC1=C2CC(C(=O)C1)C2(C)C,"InChI=1S/C10H14O/c1-6-4-9(11)8-5-7(6)10(8,2)3/h8H,4-5H2,1-3H3",150.104465068
CC1=CCC(CC1=O)C(=C)C,1,C=C(C)C1C=CC(C)C(=O)C1,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-5,8-9H,1,6H2,2-3H3",150.104465068
CC1=CCC(CC1=O)C(=C)C,1,C=C(C)C1C=CC(C)C(=O)C1,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-5,8-9H,1,6H2,2-3H3",150.104465068
CC1CCC2=C(C1)OC=C2C,1,CC1=COC2=C1CCC(C)C2,"InChI=1S/C10H14O/c1-7-3-4-9-8(2)6-11-10(9)5-7/h6-7H,3-5H2,1-2H3",150.104465068
CC1CCC2=C(C1)OC=C2C,1,CC1=COC2=C1CCC(C)C2,"InChI=1S/C10H14O/c1-7-3-4-9-8(2)6-11-10(9)5-7/h6-7H,3-5H2,1-2H3",150.104465068
