algo,feature,metric,delta_classical_minus_gnn,ci95_low,ci95_high,p_two_sided
rf,ecfp4,BACC,-0.035091274350649355,-0.0758928571428571,0.004058441558441486,0.084
rf,ecfp4,MCC,-0.0398485865464026,-0.1155463743766225,0.032608716969832294,0.2964
rf,ecfp4,Precision,-0.029974547965886757,-0.055720670869298536,-0.004972960187228868,0.0188
rf,ecfp4,Recall,0.01918084415584415,-0.009740259740259827,0.051948051948051854,0.262
rf,ecfp4,Specificity,-0.08936339285714286,-0.1607142857142858,-0.017857142857142905,0.0194
rf,ecfp4,F1,-0.00473025775407678,-0.025594074510463347,0.016465477613441547,0.6452
rf,ecfp4,ROC_AUC,-0.018498854939703154,-0.04803745361781063,0.010061311456400723,0.2102
rf,ecfp4,PR_AUC,-0.007898000368513979,-0.028040342511149514,0.011817948830864693,0.433
rf,desc,BACC,-0.0015422483766233779,-0.03855519480519476,0.034496753246753276,0.9434
rf,desc,MCC,0.02300236402093151,-0.0460588506094306,0.09089028429948191,0.5008
rf,desc,Precision,-0.010795663630241667,-0.03434050455662798,0.012250117021155082,0.3574
rf,desc,Recall,0.032443181818181815,0.0032467532467532756,0.06168831168831168,0.0398
rf,desc,Specificity,-0.035527678571428564,-0.09821428571428581,0.0267857142857143,0.3462
rf,desc,F1,0.011497336472379556,-0.008618942940122819,0.031832264026678034,0.2596
rf,desc,ROC_AUC,0.008494613868274586,-0.015828284438775594,0.03438152249536195,0.5082
rf,desc,PR_AUC,0.008910576795373604,-0.006410264112703762,0.026740801082472038,0.2842
svm,ecfp4,BACC,-0.04564111201298701,-0.09009740259740251,-0.0020292207792208528,0.0406
svm,ecfp4,MCC,-0.05875282265420074,-0.1435596732404001,0.024411201592932807,0.1676
svm,ecfp4,Precision,-0.036253774893029195,-0.0640896138218265,-0.00866504392833571,0.0084
svm,ecfp4,Recall,0.01619188311688311,-0.019480519480519543,0.051948051948051965,0.4398
svm,ecfp4,Specificity,-0.10747410714285713,-0.1875,-0.0267857142857143,0.0094
svm,ecfp4,F1,-0.009370309587750337,-0.03352795262675134,0.014958860519749618,0.4438
svm,ecfp4,ROC_AUC,-0.01980267567254174,-0.04812152133580705,0.009581545686456397,0.1776
svm,ecfp4,PR_AUC,-0.005567554817110889,-0.0226944520673799,0.014609889154242342,0.5216
svm,desc,BACC,-0.014523092532467533,-0.05032467532467533,0.02029220779220786,0.4288
svm,desc,MCC,0.012459397667500453,-0.053513673267328844,0.076475990447446,0.6992
svm,desc,Precision,-0.022238626878879644,-0.044907169507808486,-0.00015806321863806775,0.048
svm,desc,Recall,0.04218863636363636,0.016233766233766156,0.0714285714285714,0.0028
svm,desc,Specificity,-0.07123482142857145,-0.1339285714285715,-0.008928571428571397,0.039
svm,desc,F1,0.0106027041126048,-0.007911714601412873,0.029584904644713944,0.2714
svm,desc,ROC_AUC,0.019996556122448977,-0.004435659206864614,0.046831516697588116,0.1162
svm,desc,PR_AUC,0.014283763613225324,-0.001081378989760928,0.03317996971155479,0.0736
xgb,ecfp4,BACC,-0.009522930194805197,-0.04383116883116889,0.025162337662337664,0.5948
xgb,ecfp4,MCC,0.005006044343846757,-0.056286640042657564,0.06727024613766948,0.8696
xgb,ecfp4,Precision,-0.014371341413238604,-0.03706232686517417,0.008065775211366172,0.205
xgb,ecfp4,Recall,0.025688961038961032,0.0,0.051948051948051965,0.0528
xgb,ecfp4,Specificity,-0.04473482142857142,-0.1071428571428572,0.017857142857142905,0.2036
xgb,ecfp4,F1,0.006310978846366013,-0.010783771792194221,0.024077776901286478,0.4916
xgb,ecfp4,ROC_AUC,-0.0037752319109461974,-0.034004667207792265,0.026004101924861002,0.805
xgb,ecfp4,PR_AUC,-0.0034258884477029426,-0.027027809422639555,0.01959540574345181,0.7776
xgb,desc,BACC,0.003990706168831167,-0.03003246753246758,0.03855519480519476,0.837
xgb,desc,MCC,0.025806866711668385,-0.03969491376514265,0.09196236696130558,0.4468
xgb,desc,Precision,-0.00505742849320632,-0.02718366415184726,0.017280760856983362,0.6514
xgb,desc,Recall,0.02592337662337662,-0.0032467532467532756,0.05519480519480524,0.1064
xgb,desc,Specificity,-0.017941964285714287,-0.0803571428571429,0.044642857142857095,0.6518
xgb,desc,F1,0.01102067997208229,-0.00851024536578864,0.031065585603590188,0.2642
xgb,desc,ROC_AUC,0.009856232606679035,-0.014147654800556683,0.03542475939239341,0.4394
xgb,desc,PR_AUC,0.009206254551747596,-0.006129007475750603,0.026954657873423403,0.2658
