algo,feature,metric,point,ci95_low,ci95_high
rf,ecfp4,BACC,0.8607954545454546,0.8210227272727273,0.8977272727272727
rf,ecfp4,MCC,0.684604905899135,0.6094985031710379,0.756348504447029
rf,ecfp4,Precision,0.9405594405594405,0.9152542372881356,0.9646643109540636
rf,ecfp4,Recall,0.8733766233766234,0.8344155844155844,0.9090909090909091
rf,ecfp4,Specificity,0.8482142857142857,0.7767857142857143,0.9107142857142857
rf,ecfp4,F1,0.9057239057239057,0.8809523809523809,0.9284525790349417
rf,ecfp4,ROC_AUC,0.9223388218923932,0.8881609461966606,0.952632189239332
rf,ecfp4,PR_AUC,0.9633792884770215,0.9439498912185027,0.9801773399392406
svm,ecfp4,BACC,0.8571428571428571,0.8189833603896105,0.8928571428571429
svm,ecfp4,MCC,0.6700593942604899,0.5966434508515158,0.7399536721028416
svm,ecfp4,Precision,0.9428571428571428,0.9180297284071446,0.966789667896679
svm,ecfp4,Recall,0.8571428571428571,0.8181818181818182,0.8961038961038961
svm,ecfp4,Specificity,0.8571428571428571,0.7946428571428571,0.9196428571428571
svm,ecfp4,F1,0.8979591836734694,0.8726003490401396,0.9217687074829932
svm,ecfp4,ROC_AUC,0.9211502782931354,0.8894357316790353,0.949357896567718
svm,ecfp4,PR_AUC,0.9658403772376203,0.9499352897194647,0.979675697320954
xgb,ecfp4,BACC,0.8912337662337663,0.8563311688311688,0.9237012987012987
xgb,ecfp4,MCC,0.7423612252944501,0.6744004873337632,0.808629753282238
xgb,ecfp4,Precision,0.958041958041958,0.935374149659864,0.9787985865724381
xgb,ecfp4,Recall,0.8896103896103896,0.8538961038961039,0.922077922077922
xgb,ecfp4,Specificity,0.8928571428571429,0.8303571428571429,0.9464285714285714
xgb,ecfp4,F1,0.9225589225589226,0.8996655518394648,0.9437086092715232
xgb,ecfp4,ROC_AUC,0.9370361781076066,0.9039598794063081,0.9644596474953617
xgb,ecfp4,PR_AUC,0.9678328633380843,0.9466794854994508,0.9849435937101146
