algo,feature,metric,mean,std,ci95_low,ci95_high
rf,ecfp4,BACC,0.8608766233766233,0.011076539973748082,0.8432224025974027,0.8779626623376624
rf,ecfp4,MCC,0.6991593349541342,0.026652873555418063,0.6463000098618793,0.7352373674062554
rf,ecfp4,Precision,0.9346302962919787,0.009094894611422343,0.9216580443252219,0.9524202187289804
rf,ecfp4,Recall,0.8943722943722944,0.025055256221300726,0.8443181818181819,0.9209415584415584
rf,ecfp4,Specificity,0.8273809523809526,0.028167316454169877,0.7857142857142857,0.8803571428571428
rf,ecfp4,F1,0.9138051678162735,0.01149274466296852,0.8906758304696449,0.926739027944454
rf,ecfp4,ROC_AUC,0.9337604359925789,0.010897191445044805,0.9133870593692022,0.9490955473098329
rf,ecfp4,PR_AUC,0.9725362261898828,0.0062512946243146635,0.960572411043929,0.9814758666361624
rf,desc,BACC,0.8928030303030301,0.011710220696798147,0.874797077922078,0.908989448051948
rf,desc,MCC,0.7469498157153363,0.02487723318417352,0.6989503218510705,0.7794196151209931
rf,desc,Precision,0.9587540079582557,0.009221275111251804,0.9418873720136518,0.9708080726430092
rf,desc,Recall,0.8915584415584416,0.0212479031310378,0.8454545454545455,0.914448051948052
rf,desc,Specificity,0.894047619047619,0.02611111972651128,0.8455357142857143,0.9285714285714286
rf,desc,F1,0.9237464457727056,0.010374585191311698,0.9013456633604295,0.9348791230302437
rf,desc,ROC_AUC,0.9481485776128635,0.008401778781250611,0.9334835923005566,0.9620760378014843
rf,desc,PR_AUC,0.979599817364582,0.004472505190242339,0.9711613127064254,0.9865637451054934
svm,ecfp4,BACC,0.8329545454545454,0.0282973884011156,0.7876623376623376,0.870799512987013
svm,ecfp4,MCC,0.6211240074114851,0.06268446340825885,0.5130669763393193,0.6952317200764044
svm,ecfp4,Precision,0.9362672575446912,0.017181310506150203,0.9096931003584229,0.9583895380133625
svm,ecfp4,Recall,0.8218614718614717,0.06782602932767864,0.6915584415584415,0.9019480519480519
svm,ecfp4,Specificity,0.844047619047619,0.051386864229632775,0.75625,0.9107142857142857
svm,ecfp4,F1,0.8735938249692788,0.03786283003326226,0.797662905188627,0.9105213707616991
svm,ecfp4,ROC_AUC,0.9102214749536178,0.015073192079538195,0.8882515364100185,0.9288888566790353
svm,ecfp4,PR_AUC,0.9570270700835857,0.008535639863600529,0.9436473524234367,0.9667808634056881
svm,desc,BACC,0.8883387445887447,0.012138420673850292,0.871083603896104,0.9103896103896104
svm,desc,MCC,0.7466178152374001,0.024031709130481145,0.7132804513706431,0.7856487992059932
svm,desc,Precision,0.9525020583241327,0.011382011461536173,0.9318526259378349,0.9670796514482082
svm,desc,Recall,0.901082251082251,0.02340838219223483,0.8573051948051948,0.9337662337662338
svm,desc,Specificity,0.8755952380952382,0.03365671609629766,0.8129464285714286,0.9165178571428572
svm,desc,F1,0.9258148841959739,0.009931182401734625,0.9073037747860325,0.9379025548631658
svm,desc,ROC_AUC,0.9521219851576995,0.00890720792530027,0.9365295976345085,0.9614259624304268
svm,desc,PR_AUC,0.9819948980156297,0.0045714695389705755,0.9736527092730823,0.9864763833664542
xgb,ecfp4,BACC,0.8654761904761905,0.011862940081467781,0.8482142857142858,0.8823254870129871
xgb,ecfp4,MCC,0.7073399647352202,0.020693152713850596,0.669361601038112,0.7309669475978707
xgb,ecfp4,Precision,0.9379135830438893,0.013216974456921266,0.918292349726776,0.9602972226733799
xgb,ecfp4,Recall,0.8952380952380953,0.027232573438518416,0.8375,0.9285714285714286
xgb,ecfp4,Specificity,0.8357142857142857,0.0404680614085861,0.7741071428571429,0.9044642857142857
xgb,ecfp4,F1,0.9156880681876441,0.010516715215538599,0.8922747847696814,0.9267311239032023
xgb,ecfp4,ROC_AUC,0.9425943104514535,0.007725991536760022,0.9254087430426717,0.9523321544526901
xgb,ecfp4,PR_AUC,0.9758394704818608,0.0051735174388443765,0.9643727860882264,0.9818029660373383
xgb,desc,BACC,0.8889880952380953,0.014570771458373252,0.8608969155844156,0.9106939935064935
xgb,desc,MCC,0.7401763419394829,0.02671746745497081,0.6928882399543177,0.7833071157033944
xgb,desc,Precision,0.9563108095709104,0.011515973263718901,0.9321638418079096,0.9678189719296872
xgb,desc,Recall,0.8904761904761904,0.019805068077496355,0.8467532467532468,0.9112012987012987
xgb,desc,Specificity,0.8875,0.03268393788879129,0.8191964285714286,0.9196428571428571
xgb,desc,F1,0.9220317056901148,0.009896790951822505,0.9015949461166852,0.9357544757033248
xgb,desc,ROC_AUC,0.9481659709338283,0.007335482546750702,0.9351736433209648,0.9594626913265306
xgb,desc,PR_AUC,0.9797575973900364,0.003658237880126147,0.9727741832637518,0.9853039940968022
