threshold,metric,point,ci95_low,ci95_high,boot_std
honest_cv5=0.944,BACC,0.8896103896103896,0.856737012987013,0.9196428571428572,0.015888320611070518
honest_cv5=0.944,MCC,0.7191465199607916,0.6545872589735219,0.7813618108045636,0.03219151493349029
honest_cv5=0.944,Precision,0.9703703703703703,0.9498207885304659,0.9886792452830189,0.00981196938193231
honest_cv5=0.944,Recall,0.8506493506493507,0.8084415584415584,0.8896103896103896,0.020403636145432426
honest_cv5=0.944,Specificity,0.9285714285714286,0.875,0.9732142857142857,0.024355248281064425
honest_cv5=0.944,F1,0.9065743944636678,0.8802816901408451,0.9301533219761499,0.012649968824266378
honest_cv5=0.944,ROC_AUC,0.940732258812616,0.9115234375,0.9660978809137292,0.01403635266081572
honest_cv5=0.944,PR_AUC,0.9712467107878017,0.9513779888753006,0.9869821555696033,0.009240276767248
ref_0.5,BACC,0.8887987012987013,0.8522727272727273,0.922077922077922,0.017746586622841155
ref_0.5,MCC,0.7470381142323433,0.6768570805361942,0.8136497632443274,0.034716577995690306
ref_0.5,Precision,0.952054794520548,0.9285714285714286,0.9748201438848921,0.01141336191449454
ref_0.5,Recall,0.9025974025974026,0.8668831168831169,0.935064935064935,0.01702323106242271
ref_0.5,Specificity,0.875,0.8125,0.9375,0.031217816167121066
ref_0.5,F1,0.9266666666666666,0.9045226130653267,0.9470198675496688,0.010812687664956468
ref_0.5,ROC_AUC,0.940732258812616,0.9115234375,0.9660978809137292,0.01403635266081572
ref_0.5,PR_AUC,0.9712467107878017,0.9513779888753006,0.9869821555696033,0.009240276767248
ref_opt_test=0.764,BACC,0.8973214285714286,0.8632305194805194,0.9281655844155844,0.016537441074074163
ref_opt_test=0.764,MCC,0.7539124891735132,0.6873877019315943,0.8185287822415216,0.03316749816099511
ref_opt_test=0.764,Precision,0.9615384615384616,0.94,0.982078853046595,0.01054000270780876
ref_opt_test=0.764,Recall,0.8928571428571429,0.8571428571428571,0.9253246753246753,0.01777426438612928
ref_opt_test=0.764,Specificity,0.9017857142857143,0.8482142857142857,0.9553571428571429,0.027972341103998957
ref_opt_test=0.764,F1,0.9259259259259259,0.9033333333333333,0.9464882943143813,0.011029465747543295
ref_opt_test=0.764,ROC_AUC,0.940732258812616,0.9115234375,0.9660978809137292,0.01403635266081572
ref_opt_test=0.764,PR_AUC,0.9712467107878017,0.9513779888753006,0.9869821555696033,0.009240276767248
