algo,feature,metric,delta_classical_minus_gnn,ci95_low,ci95_high,p_two_sided
rf,ecfp4,BACC,-0.035091274350649355,-0.0758928571428571,0.004058441558441486,0.084
rf,ecfp4,MCC,-0.0398485865464026,-0.1155463743766225,0.032608716969832294,0.2964
rf,ecfp4,Precision,-0.029974547965886757,-0.055720670869298536,-0.004972960187228868,0.0188
rf,ecfp4,Recall,0.01918084415584415,-0.009740259740259827,0.051948051948051854,0.262
rf,ecfp4,Specificity,-0.08936339285714286,-0.1607142857142858,-0.017857142857142905,0.0194
rf,ecfp4,F1,-0.00473025775407678,-0.025594074510463347,0.016465477613441547,0.6452
rf,ecfp4,ROC_AUC,-0.018498854939703154,-0.04803745361781063,0.010061311456400723,0.2102
rf,ecfp4,PR_AUC,-0.007898000368513979,-0.028040342511149514,0.011817948830864693,0.433
svm,ecfp4,BACC,-0.04564111201298701,-0.09009740259740251,-0.0020292207792208528,0.0406
svm,ecfp4,MCC,-0.05875282265420074,-0.1435596732404001,0.024411201592932807,0.1676
svm,ecfp4,Precision,-0.036253774893029195,-0.0640896138218265,-0.00866504392833571,0.0084
svm,ecfp4,Recall,0.01619188311688311,-0.019480519480519543,0.051948051948051965,0.4398
svm,ecfp4,Specificity,-0.10747410714285713,-0.1875,-0.0267857142857143,0.0094
svm,ecfp4,F1,-0.009370309587750337,-0.03352795262675134,0.014958860519749618,0.4438
svm,ecfp4,ROC_AUC,-0.01980267567254174,-0.04812152133580705,0.009581545686456397,0.1776
svm,ecfp4,PR_AUC,-0.005567554817110889,-0.0226944520673799,0.014609889154242342,0.5216
xgb,ecfp4,BACC,-0.009522930194805197,-0.04383116883116889,0.025162337662337664,0.5948
xgb,ecfp4,MCC,0.005006044343846757,-0.056286640042657564,0.06727024613766948,0.8696
xgb,ecfp4,Precision,-0.014371341413238604,-0.03706232686517417,0.008065775211366172,0.205
xgb,ecfp4,Recall,0.025688961038961032,0.0,0.051948051948051965,0.0528
xgb,ecfp4,Specificity,-0.04473482142857142,-0.1071428571428572,0.017857142857142905,0.2036
xgb,ecfp4,F1,0.006310978846366013,-0.010783771792194221,0.024077776901286478,0.4916
xgb,ecfp4,ROC_AUC,-0.0037752319109461974,-0.034004667207792265,0.026004101924861002,0.805
xgb,ecfp4,PR_AUC,-0.0034258884477029426,-0.027027809422639555,0.01959540574345181,0.7776
