model,threshold,metric,point,boot_mean,boot_median,ci95_low,ci95_high,boot_std
OS,primary[cv5-bacc],BACC,0.9044988268674633,0.9043643817864353,0.9047580073116167,0.8717193212200578,0.9351550990342117,0.016322095918467946
OS,primary[cv5-bacc],MCC,0.7929979467709449,0.7931698120973338,0.7932558520216074,0.7289818941271635,0.8543515285180235,0.03200196745081482
OS,primary[cv5-bacc],Precision,0.9515570934256056,0.9516230772298473,0.9518070861476478,0.9283276450511946,0.9744548772395487,0.011613261788529434
OS,primary[cv5-bacc],Recall,0.9228187919463087,0.9226889261744966,0.9228187919463087,0.8926174496644296,0.9530201342281879,0.015675769435782735
OS,primary[cv5-bacc],Specificity,0.8861788617886179,0.886039837398374,0.8861788617886179,0.8292682926829268,0.943089430894309,0.028649337570998433
OS,primary[cv5-bacc],F1,0.9369676320272572,0.9368365284060836,0.9371816638370118,0.9162393162393162,0.9559322033898305,0.010164192955935883
OS,primary[cv5-bacc],ROC_AUC,0.9520106946035903,0.9519860329022753,0.9524472090358487,0.9298299639875593,0.9715586975500626,0.010749787064976205
OS,primary[cv5-bacc],PR_AUC,0.9799273993744531,0.9799746777499063,0.9801932081769973,0.9700916034592625,0.9885128804867844,0.004768001829051217
OS,ref-0.5,BACC,0.8915943689638239,0.8913978992742947,0.8915943689638239,0.8554591586184319,0.9248305096305997,0.017668310175263754
OS,ref-0.5,MCC,0.7777335624797209,0.7777406776386802,0.7784304386107092,0.7102573785470624,0.8419556015998794,0.03371855746490478
OS,ref-0.5,Precision,0.9389830508474576,0.9390425289217136,0.9391891891891891,0.9136212624584718,0.962457337883959,0.012521148382462263
OS,ref-0.5,Recall,0.9295302013422819,0.9293429530201344,0.9295302013422819,0.8993288590604027,0.9563758389261745,0.015038685145824411
OS,ref-0.5,Specificity,0.8536585365853658,0.8534528455284554,0.8536585365853658,0.7886178861788617,0.9105691056910569,0.03193435783617625
OS,ref-0.5,F1,0.9342327150084317,0.9340725429755199,0.9342560553633218,0.9136160449886908,0.9530201342281879,0.010178802379995149
OS,ref-0.5,ROC_AUC,0.9520106946035903,0.9519860329022753,0.9524472090358487,0.9298299639875593,0.9715586975500626,0.010749787064976205
OS,ref-0.5,PR_AUC,0.9799273993744531,0.9799746777499063,0.9801932081769973,0.9700916034592625,0.9885128804867844,0.004768001829051217
OS,ref-gmean_test-0.9376,BACC,0.912369727724123,0.9123584397337261,0.9128198832323894,0.8822301113111802,0.9403748567687019,0.015057291841962849
OS,ref-gmean_test-0.9376,MCC,0.794673786535136,0.7951334581320574,0.7959908000700884,0.7346844657740829,0.853258134689369,0.030668186520321605
OS,ref-gmean_test-0.9376,Precision,0.9642857142857143,0.9643940225537805,0.9645390070921985,0.9432624113475178,0.9849638140294557,0.010498328911797878
OS,ref-gmean_test-0.9376,Recall,0.9060402684563759,0.9059989932885907,0.9060402684563759,0.87248322147651,0.9362416107382551,0.017081604851829472
OS,ref-gmean_test-0.9376,Specificity,0.9186991869918699,0.9187178861788617,0.9186991869918699,0.8699186991869918,0.967479674796748,0.024776112181625436
OS,ref-gmean_test-0.9376,F1,0.9342560553633218,0.9341802507086046,0.9344827586206896,0.9125874125874126,0.9538461538461539,0.010617445782164734
OS,ref-gmean_test-0.9376,ROC_AUC,0.9520106946035903,0.9519860329022753,0.9524472090358487,0.9298299639875593,0.9715586975500626,0.010749787064976205
OS,ref-gmean_test-0.9376,PR_AUC,0.9799273993744531,0.9799746777499063,0.9801932081769973,0.9700916034592625,0.9885128804867844,0.004768001829051217
Odorify,platform,BACC,0.7280924319310307,0.7280408222840618,0.7280924319310307,0.6826676488241392,0.772814358596606,0.023074103529625755
Odorify,platform,MCC,0.5705785155887421,0.5704879173098836,0.5705785155887421,0.48515286531038787,0.6514947979860699,0.042263029093998185
Odorify,platform,Precision,0.819718309859155,0.8198738758420061,0.819718309859155,0.7950819672131147,0.8459302325581395,0.01294620852477459
Odorify,platform,Recall,0.9765100671140939,0.9765637583892618,0.9765100671140939,0.959731543624161,0.9932885906040269,0.008754997339071357
Odorify,platform,Specificity,0.4796747967479675,0.4795178861788619,0.4796747967479675,0.3902439024390244,0.5691056910569106,0.045285961497422915
Odorify,platform,F1,0.891271056661562,0.8913190348580969,0.891271056661562,0.874051593323217,0.9085432965178708,0.00881342876019325
Odorify,platform,ROC_AUC,0.8239755551917934,0.8238862279696623,0.8242142740219348,0.7797358405631035,0.8663174551208598,0.022284167925341117
Odorify,platform,PR_AUC,0.888904590097233,0.8890623888971084,0.8891379809708981,0.8605630371074455,0.9162981965615465,0.014318856783093973
