metric,n,mean,std,median,ci95_low,ci95_high,min,max
threshold,15,0.6302818606297175,0.29422919102814793,0.7208097577095032,0.17580912038683882,0.9769374072551728,0.1694557070732116,0.9825426340103148
BACC,15,0.9037576617376911,0.01780049066959546,0.9037894909150436,0.876484831123479,0.9297627816882196,0.8753342063621978,0.9312762590713156
BACC@0.5,15,0.9026272712391552,0.015633279476903027,0.90282097451847,0.8802811425765265,0.930738118622797,0.8793310416325639,0.9339226278168822
MCC,15,0.7803224545500463,0.0318881187298517,0.7790130293870987,0.731312807025379,0.8288129036708819,0.7258970985037957,0.8325859107441312
MCC@0.5,15,0.7873848216073268,0.0303097483942711,0.7880988519304402,0.7356464244816171,0.8382595195880981,0.7237275717965814,0.8455768423783179
Precision,15,0.9586506370807554,0.016360036489290138,0.9618055555555556,0.9285252643948296,0.9803265993265994,0.9264214046822744,0.9814814814814816
Recall,15,0.9029082774049217,0.0228465043310838,0.8993288590604027,0.8704697986577181,0.9317114093959732,0.8657718120805369,0.9328859060402684
Specificity,15,0.9046070460704608,0.04082039564008522,0.9105691056910568,0.826829268292683,0.9565040650406504,0.8211382113821138,0.959349593495935
F1,15,0.9296599679678473,0.01113361052048522,0.9292929292929292,0.9119938437860715,0.9460859903210785,0.9113043478260868,0.9464594127806564
F1@0.5,15,0.9343055747936709,0.010776578134707058,0.9347079037800688,0.9126634768740033,0.9500436701296314,0.9090909090909092,0.952054794520548
ROC_AUC,15,0.9514323129808481,0.011413976887511964,0.9528018770120588,0.9317857532602173,0.9700557920008731,0.9290118404539752,0.974682162929012
PR_AUC,15,0.9759548258545916,0.007109655502031158,0.9741208175948292,0.964786325201348,0.9879150130837115,0.9638845418652616,0.9898437375087982
